Country Name,Country Code,Series Name,Series Code,2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023],2024 [YR2024]
Afghanistan,AFG,GDP (current US$),NY.GDP.MKTP.CD,3521418059.92345,2813571753.87253,3825701438.99963,4520946818.54581,5224896718.67782,6203256538.70967,6971758282.29351,9747886187.39393,10109297047.5432,12416152732.0567,15856668555.8336,17805098206.3141,19907329777.5872,20146416757.5987,20497128555.6972,19134221644.7325,18116572395.0772,18753456497.8159,18053222687.4126,18799444490.1128,19955929052.1496,14259995441.0759,14497243872.1337,17233051620.1117,..
Afghanistan,AFG,GDP per capita (current US$),NY.GDP.PCAP.CD,174.930991430166,138.706821676113,178.954088379235,198.871115728727,221.763653873013,254.184249149336,274.218553561575,376.223152003876,381.73323802844,452.053705477043,560.621505463146,606.694676337726,651.417134470046,637.087099117099,625.054941813938,565.569730408751,522.082215583898,525.469770891619,491.337221382603,496.6025042585,510.787063366811,356.496214115892,357.261152798144,415.707417059086,..
Afghanistan,AFG,Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,10.4208171386207,14.342152797537,18.3800424016375,16.7751362822863,..
Afghanistan,AFG,Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,36.2890774127896,37.06956357719,54.5054272070161,50.498206993764,..
Afghanistan,AFG,Trade (% of GDP),NE.TRD.GNFS.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,46.7098945514103,51.4117163747271,72.8854696086536,67.2733432760503,..
Afghanistan,AFG,Current account balance (% of GDP),BN.CAB.XOKA.GD.ZS,..,..,..,..,..,..,..,..,-2.35799044700136,2.23601941932175,-3.64331388234628,-12.6195382087159,-25.8706814974751,-25.290058564309,-15.7724198274304,-21.9126573355151,-14.9501951919169,-18.9559612272258,-21.5852741164653,-20.1704643881064,-15.7183027911684,..,..,..,..
Afghanistan,AFG,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,..,..,..,..,..,..,..,..,-238376258.640059,277627586.221436,-577708206.772323,-2246921171.24519,-5150161881.41159,-5095040596.60647,-3232893168.37268,-4192816422.8282,-2708462935.14897,-3554897942.49064,-3896837603.93392,-3791935256.04003,-3136733353.20761,..,..,..,..
Afghanistan,AFG,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,..,..,..,..,..,12.6862687216715,6.78459655001655,8.68057078513406,26.4186641547444,-6.81116108898996,2.17853752389419,11.8041858089129,6.44121280934117,7.38577178397855,4.67399603536345,-0.661709164713742,4.38389195513915,4.97595150553833,0.626149149168847,2.30237251516834,5.60188791482224,5.13320340824963,13.7121023720065,-4.64470870797775,-6.60118564073726
Afghanistan,AFG,Gross capital formation (% of GDP),NE.GDI.TOTL.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,11.5,13,16.7,15.2,..
Afghanistan,AFG,General government final consumption expenditure (current US$),NE.CON.GOVT.CD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,4412100128.92726,3032015044.44951,3166994239.24094,3651720074.91112,..
Afghanistan,AFG,"External debt stocks, total (DOD, current US$)",DT.DOD.DECT.CD,..,..,..,..,..,..,979344507.8,2023034713.1,2143951791.1,2480214113.7,2435844906,2485331046.1,2580623924.1,2587774666.5,2529865267.8,2596917266.2,2596050086.4,2751986638.9,2678760424.2,2661685956.5,3040072312.4,3555784339.6,3393247241.7,3428116975.5,..
Albania,ALB,GDP (current US$),NY.GDP.MKTP.CD,3480355258.04122,3922100793.5403,4348068242.19512,5611496257.14231,7184685781.51876,8052077248.14638,8896075004.63516,10677324852.8822,12881352893.6855,12044205549.6571,11926926615.8015,12890760315.146,12319834195.331,12776224496.9718,13228147516.1168,11386853113.0189,11861199830.8396,13019726211.7369,15379509891.7196,15585105131.0644,15241458744.8688,18032010563.7558,19017242585.7803,23547179830.4413,..
Albania,ALB,GDP per capita (current US$),NY.GDP.PCAP.CD,1126.68334010717,1281.6598256178,1425.12421860142,1846.12012081207,2373.58129170055,2673.78781583529,2972.74362094736,3595.03829536404,4370.53971639449,4114.13403283023,4094.34968570481,4437.14116097061,4247.63134315945,4413.06338346821,4578.63320812155,3952.80357364813,4124.05538986272,4531.03220675893,5365.48934672897,5460.42823730592,5370.77862312929,6413.28328605026,6846.42614266044,8575.17113446213,..
Albania,ALB,Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,20.1152855452625,21.3334108322137,20.9456161731319,20.8473864531722,22.2175607600291,23.0129911473171,25.2096077274316,28.2478654166425,25.3024181160681,25.2407486083138,27.9794352415409,29.2415371390963,28.9374877608303,28.9163151372576,28.2130014584625,27.2673911512668,28.9778991754721,31.5697983098872,31.1140103851547,30.9361353522288,22.5407585571141,31.1330200144264,37.197084813482,38.6650817896799,..
